"reportyear","county_name","estimate","region_name"
2050,"Alameda",19.8,"Bay Area"
2085,"Alameda",33.23333333,"Bay Area"
2050,"Alpine",38.63333333,"Central/Southeast Sierra"
2085,"Alpine",74.53333333,"Central/Southeast Sierra"
2050,"Amador",41.43333333,"Central/Southeast Sierra"
2085,"Amador",71.26666667,"Central/Southeast Sierra"
2050,"Butte",37.53333333,"Butte"
2085,"Butte",71.36666667,"Butte"
2050,"Calaveras",40.36666667,"Central/Southeast Sierra"
2085,"Calaveras",69.06666667,"Central/Southeast Sierra"
2050,"Colusa",33.76666667,"Northern Sacramento Valley"
2085,"Colusa",62.9,"Northern Sacramento Valley"
2050,"Contra Costa",22.76666667,"Bay Area"
2085,"Contra Costa",40.33333333,"Bay Area"
2050,"Del Norte",19.1,"North Coast"
2085,"Del Norte",73.73333333,"North Coast"
2050,"El Dorado",42.36666667,"Sacramento Area"
2085,"El Dorado",73.76666667,"Sacramento Area"
2050,"Fresno",44.26666667,"San Joaquin Valley"
2085,"Fresno",77.93333333,"San Joaquin Valley"
2050,"Glenn",31.8,"Northern Sacramento Valley"
2085,"Glenn",60.53333333,"Northern Sacramento Valley"
2050,"Humboldt",18.66666667,"North Coast"
2085,"Humboldt",58.4,"North Coast"
2050,"Imperial",43.43333333,"Southern California"
2085,"Imperial",80.9,"Southern California"
2050,"Inyo",44.06666667,"Central/Southeast Sierra"
2085,"Inyo",80.53333333,"Central/Southeast Sierra"
2050,"Kern",39.13333333,"San Joaquin Valley"
2085,"Kern",66.63333333,"San Joaquin Valley"
2050,"Kings",38.6,"San Joaquin Valley"
2085,"Kings",70.83333333,"San Joaquin Valley"
2050,"Lake",23.63333333,"North Coast"
2085,"Lake",45.6,"North Coast"
2050,"Lassen",33.93333333,"Northeast Sierra"
2085,"Lassen",73.96666667,"Northeast Sierra"
2050,"Los Angeles",36.93333333,"Southern California"
2085,"Los Angeles",65.9,"Southern California"
2050,"Madera",43.2,"San Joaquin Valley"
2085,"Madera",77.43333333,"San Joaquin Valley"
2050,"Marin",13.3,"Bay Area"
2085,"Marin",23.63333333,"Bay Area"
2050,"Mariposa",41.53333333,"Central/Southeast Sierra"
2085,"Mariposa",73.43333333,"Central/Southeast Sierra"
2050,"Mendocino",19.46666667,"North Coast"
2085,"Mendocino",44.53333333,"North Coast"
2050,"Merced",38.5,"San Joaquin Valley"
2085,"Merced",68.06666667,"San Joaquin Valley"
2050,"Modoc",36.6,"Northeast Sierra"
2085,"Modoc",78.1,"Northeast Sierra"
2050,"Mono",44.23333333,"Central/Southeast Sierra"
2085,"Mono",84.96666667,"Central/Southeast Sierra"
2050,"Monterey",20.5,"Monterey Bay"
2085,"Monterey",41.13333333,"Monterey Bay"
2050,"Napa",23.8,"Bay Area"
2085,"Napa",42.26666667,"Bay Area"
2050,"Nevada",42.83333333,"Northeast Sierra"
2085,"Nevada",77.5,"Northeast Sierra"
2050,"Orange",15.16666667,"Southern California"
2085,"Orange",34.2,"Southern California"
2050,"Placer",43.5,"Sacramento Area"
2085,"Placer",77.13333333,"Sacramento Area"
2050,"Plumas",38.06666667,"Northeast Sierra"
2085,"Plumas",75.8,"Northeast Sierra"
2050,"Riverside",41.83333333,"Southern California"
2085,"Riverside",73.3,"Southern California"
2050,"Sacramento",33,"Sacramento Area"
2085,"Sacramento",56.26666667,"Sacramento Area"
2050,"San Benito",30.63333333,"Monterey Bay"
2085,"San Benito",57.46666667,"Monterey Bay"
2050,"San Bernardino",41.23333333,"Southern California"
2085,"San Bernardino",73.76666667,"Southern California"
2050,"San Diego",38.56666667,"San Diego"
2085,"San Diego",69.76666667,"San Diego"
2050,"San Francisco",8.1,"Bay Area"
2085,"San Francisco",18.1,"Bay Area"
2050,"San Joaquin",31.83333333,"San Joaquin Valley"
2085,"San Joaquin",52.83333333,"San Joaquin Valley"
2050,"San Luis Obispo",27.33333333,"San Luis Obispo"
2085,"San Luis Obispo",62.8,"San Luis Obispo"
2050,"San Mateo",12.4,"Bay Area"
2085,"San Mateo",26.73333333,"Bay Area"
2050,"Santa Barbara",16.53333333,"Santa Barbara"
2085,"Santa Barbara",36.93333333,"Santa Barbara"
2050,"Santa Clara",17.53333333,"Bay Area"
2085,"Santa Clara",30.8,"Bay Area"
2050,"Santa Cruz",9.533333333,"Monterey Bay"
2085,"Santa Cruz",21.73333333,"Monterey Bay"
2050,"Shasta",31.26666667,"Shasta"
2085,"Shasta",68.23333333,"Shasta"
2050,"Sierra",41.13333333,"Northeast Sierra"
2085,"Sierra",78,"Northeast Sierra"
2050,"Siskiyou",35.56666667,"Northeast Sierra"
2085,"Siskiyou",75.66666667,"Northeast Sierra"
2050,"Solano",29,"Bay Area"
2085,"Solano",51.16666667,"Bay Area"
2050,"Sonoma",17.2,"Bay Area"
2085,"Sonoma",30.6,"Bay Area"
2050,"Stanislaus",31.66666667,"San Joaquin Valley"
2085,"Stanislaus",56.36666667,"San Joaquin Valley"
2050,"Sutter",38.93333333,"Sacramento Area"
2085,"Sutter",69.53333333,"Sacramento Area"
2050,"Tehama",26.66666667,"Northern Sacramento Valley"
2085,"Tehama",59.3,"Northern Sacramento Valley"
2050,"Trinity",21.63333333,"North Coast"
2085,"Trinity",51.7,"North Coast"
2050,"Tulare",44.76666667,"San Joaquin Valley"
2085,"Tulare",79.9,"San Joaquin Valley"
2050,"Tuolumne",41.33333333,"Central/Southeast Sierra"
2085,"Tuolumne",72.26666667,"Central/Southeast Sierra"
2050,"Ventura",32.16666667,"Southern California"
2085,"Ventura",59.53333333,"Southern California"
2050,"Yolo",35.46666667,"Sacramento Area"
2085,"Yolo",60.7,"Sacramento Area"
2050,"Yuba",41.5,"Sacramento Area"
2085,"Yuba",75.6,"Sacramento Area"
